ContentId,Content
b8dda668-7a44-4e4c-8594-e936c5c5d9e6,Funktionen
13f52dcc-18c3-44ba-8fc4-479e24c9ab94,Fähigkeiten
9ec11cd8-f43a-4661-8de2-849193240dda,Ressourcen
146df886-a0f1-4ca3-8f9d-2264d7a18ea3,Über uns
6d367e02-9d17-4974-9a1e-3947fb27695e,Kostenlos testen
02e6038b-0319-4f47-ba37-1be743d3101b,"<span class=""mat-icon text-2xl"">Menü</span>"
f4db0547-3a97-4fe6-930a-c6b23527d907,"<span class=""mat-icon text-2xl"">schließen</span>"
f280f94a-2d04-486e-9313-487664032160,Funktionen
14ade864-cb63-4f59-a034-fd7749340f59,Fähigkeiten
1ce77e73-7f8c-40a8-a71b-60b767cdf41e,Ressourcen
400dd4bc-c7ef-4623-8a42-f442296e8139,Über uns
2537a218-ac46-435d-ad23-7f856bfb4154,NX X Essentials – Website
0ea12da8-50cc-4d3c-b44f-48fc03786cb2,"Browserbasierte, grundlegende NX CAD-, CAM- und CAE-Tools. NX-Daten lassen sich unkompliziert erstellen und bearbeiten – und zwar ohne Konvertierung und von überall aus.   Fordern Sie jetzt weitere Informationen an oder nutzen Sie eine kostenlose 30-tägige Cloud-Testversion."
f2cdcb98-a649-42d9-869b-0b8fcd2510c8,Kostenlose 30-Tage-Testversion
74d55458-f947-4235-a815-bed92400e6fb,Kostenlose Präsentation
28acec47-a61b-47b9-8a87-0b656e793427,Telefon
6fab7fdd-84a3-4693-8c6a-2812089a0ab4,Rufen Sie uns einfach an: {Verbraucher:FPersonalize_Contact_Phonenumber}
8d579e1a-7a15-41fc-85aa-0c657121c03c,Starten Sie die kostenlose 30-tägige Software-Testversion
90f0554c-ec0e-417d-8aa1-b5291200fa2e,Erschließen Sie die Leistungsfähigkeit von Simcenter X MDAO
e7e21834-e6da-407c-a4f1-0b5d4cac96d6,"Entdecken Sie die Freiheit, jederzeit und überall zu konstruieren – mit einer Lösung, mit der Sie von jedem Gerät aus arbeiten und mit anderen kooperieren können. Steigern Sie die Effizienz der Produktentwicklung, senken Sie die Kosten, sparen Sie Zeit und behaupten Sie Ihre Spitzenposition in einem wettbewerbsintensiven Markt."
9755a211-b5ce-49e3-a58a-70a75caa8cbb,"Diese cloudbasierte Lösung vereinfacht jeden einzelnen Schritt des Konstruktionsprozesses, vom ersten Konzept bis zur finalen Produktion, und befähigt Ihr Team, mit Zuversicht und Flexibilität innovativ zu sein. Mit NX X Essentials können Sie Ihre Konzepte verfeinern, teamübergreifend zusammenarbeiten und abteilungsübergreifend Konstruktionsdaten abrufen."
154e8d29-2537-4ada-9e31-2926e257561a,Datenblatt herunterladen
13bdbe29-0c1a-437f-9633-3d5af1f4c4b3,Einführung in NX X Essentials
f9e44e37-2a0d-4c4f-8aee-ae1855c984dc,Konstruktion – egal wo und auf welchem Gerät
bd665cc8-c302-4fb9-9274-e8d61cee9a34,"Erstellen und ändern Sie Konstruktionen auf einem Gerät Ihrer Wahl – mit benutzerfreundlichen CAD-, CAM- und CAE-Tools, berechtigungsabhängigen Projekten und einer Cloud-Dateifreigabe."
0265b6af-eabc-46fc-a825-911350bdd2d1,unfold_more
ac5d2523-9ce2-47d7-93e6-fcbd9b0c944d,"Integrierte Tools, die mit Ihnen wachsen"
d7429720-a7af-4b24-aaa6-4f9bb498a30c,"Reduzieren Sie Risiken durch virtuelle Tests von Konstruktionsvorschlägen bis hin zur CAM-G-Code-Erstellung und Angebotsmanagement-Kommunikation. Sofortiger Zugriff auf die Werkzeuge, die Sie benötigen."
bd6764d0-8df9-4d8f-ba14-bf9e888fa5d5,unfold_more
81c9a8c0-5e6b-406e-94dd-f242c435ad3c,Kostengünstiger Zugriff auf Funktionen
499b53ed-a9a2-4334-899a-53b0790b0b62,"Verwenden Sie benutzerfreundliche, browserbasierte Tools und nutzen Sie die umfangreichen Funktionen – zu einem für Unternehmen interessanten Preis."
e3400459-d22b-41ca-bae7-b729dc50490b,Datenblatt herunterladen
cb5a655c-697f-4abe-9fd9-11fcf8cb995a,Kostenlose 30-Tage-Testversion anfordern
